"kabupaten_kota";"nilai_investasi";"periode_update"
"Kabupaten Probolinggo";"  0.22 ";"Triwulan IV 2020"
"Kabupaten Sampang";"0";"Triwulan IV 2020"
"Kabupaten Sidoarjo";"  0.50 ";"Triwulan IV 2020"
"Kabupaten Situbondo";"  0.00 ";"Triwulan IV 2020"
"Kabupaten Sumenep";"  0.00 ";"Triwulan IV 2020"
"Kabupaten Trenggalek";"  0.00 ";"Triwulan IV 2020"
"Kabupaten Tuban";"  0.06 ";"Triwulan IV 2020"
"Kabupaten Tulungagung";"  0.00 ";"Triwulan IV 2020"
"Kota Batu";"  0.03 ";"Triwulan IV 2020"
"Kota Blitar";"  0.01 ";"Triwulan IV 2020"
"Kota Kediri";"  0.04 ";"Triwulan IV 2020"
"Kota Madiun";"  0.00 ";"Triwulan IV 2020"
"Kota Malang";"  0.05 ";"Triwulan IV 2020"
"Kota Mojokerto";"  0.00 ";"Triwulan IV 2020"
"Kota Pasuruan";"0";"Triwulan IV 2020"
"Kota Probolinggo";"  0.00 ";"Triwulan IV 2020"
"Kota Surabaya";"  1.66 ";"Triwulan IV 2020"
"Kabupaten Bangkalan";"0.0082727";"Triwulan I 2021"
"Kabupaten Banyuwangi";"0.2698059";"Triwulan I 2021"
